analysis_frame,category,location,metric,baseline_year,comparison_year,baseline_value,comparison_value,percent_change,ci_low,ci_high,uncertainty_status,coverage_status,interpretation,limitation,source_file,source_key,borough_neighborhood,ci_unit,persistence_result,full_vs_jan_aug,map_priority,weather_adjusted_result,q_value_bh,reference_period,unit,raw_pearson_r
full_year_2024_2025,traffic facility,Bronx - Whitestone Bridge,standardized vehicles per complete supplied-direction day,2024.0,2025.0,136254.31210317463,138845.76488095237,1.901923497155411,1.1971218177762721,2.650828987072214,increase; interval excludes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Bronx - Whitestone Bridge,Bronx - Whitestone Bridge,percent,inconclusive,weakened,high,,,,,
full_year_2024_2025,traffic facility,Cross Bay Bridge,standardized vehicles per complete supplied-direction day,2024.0,2025.0,21248.924603174604,21433.417063492063,0.868243752391562,-0.5752875587210087,2.285559632412599,uncertain; interval includes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Cross Bay Bridge,Cross Bay Bridge,percent,reversed,inconclusive,context,,,,,
full_year_2024_2025,traffic facility,Henry Hudson Bridge,standardized vehicles per complete supplied-direction day,2024.0,2025.0,69047.08392857143,69379.49880952381,0.48143217937524074,-1.2104280935049947,1.8039373535101024,uncertain; interval includes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Henry Hudson Bridge,Henry Hudson Bridge,percent,inconclusive,inconclusive,context,,,,,
full_year_2024_2025,traffic facility,Hugh L. Carey Tunnel,standardized vehicles per complete supplied-direction day,2024.0,2025.0,55642.14444444444,52275.23055555556,-6.051013889751422,-9.119767699002415,-3.355132332075597,decrease; interval excludes zero,limited shared strata; selected-day comparison,Selected complete-day crossing count association,"insufficient weekday/full-period coverage; selected complete days only; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Hugh L. Carey Tunnel,Hugh L. Carey Tunnel,percent,inconclusive,inconclusive,high,,,,,
full_year_2024_2025,traffic facility,Marine Parkway Bridge,standardized vehicles per complete supplied-direction day,2024.0,2025.0,21860.49583333333,22214.051785714288,1.6173281478906176,0.18620060829096902,3.430485983758966,increase; interval excludes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Marine Parkway Bridge,Marine Parkway Bridge,percent,inconclusive,weakened,high,,,,,
full_year_2024_2025,traffic facility,Queens Midtown Tunnel,standardized vehicles per complete supplied-direction day,2024.0,2025.0,83208.06051587302,82285.15218253968,-1.1091573672207922,-2.3861718093668363,0.5203340522478958,uncertain; interval includes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Queens Midtown Tunnel,Queens Midtown Tunnel,percent,strengthened,inconclusive,context,,,,,
full_year_2024_2025,traffic facility,Robert F. Kennedy Bridge Bronx,standardized vehicles per complete supplied-direction day,2024.0,2025.0,143541.07519841273,144033.8503968254,0.34329908545795984,-0.5043021065020206,1.0639201358984554,uncertain; interval includes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. MTA Facility 21 combines Bronx AND Queens plazas (TBX); cannot isolate Bronx-only traffic. Excludes Manhattan branch.",full_year_2024_2025_bridge_standardized_changes.csv,Robert F. Kennedy Bridge Bronx,Bronx and Queens plazas (TBX),percent,inconclusive,inconclusive,context,,,,,
full_year_2024_2025,traffic facility,Robert F. Kennedy Bridge Manhattan,standardized vehicles per complete supplied-direction day,2024.0,2025.0,46769.78869047619,47730.90615079364,2.054996371008122,1.093335474851369,3.2101393495013424,increase; interval excludes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments. Manhattan branch (TBM), separately retained; only supplied traffic directions apply.",full_year_2024_2025_bridge_standardized_changes.csv,Robert F. Kennedy Bridge Manhattan,Manhattan plaza (TBM),percent,inconclusive,weakened,high,,,,,
full_year_2024_2025,traffic facility,Throgs Neck Bridge,standardized vehicles per complete supplied-direction day,2024.0,2025.0,123411.44384920635,123910.11884920637,0.40407516875771154,-0.18989098360547546,1.1389581228307732,uncertain; interval includes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Throgs Neck Bridge,Throgs Neck Bridge,percent,inconclusive,inconclusive,context,,,,,
full_year_2024_2025,traffic facility,Verrazzano - Narrows Bridge,standardized vehicles per complete supplied-direction day,2024.0,2025.0,221522.80615079362,222560.60138888887,0.4684823455102016,-0.16592349227762676,1.2383099375292037,uncertain; interval includes zero,at least 75% of month-weekday strata,Selected complete-day crossing count association,"crossing counts; no tracked rerouting; Named facility corridor; representative point on source road geometry, not toll-plaza/sensor coordinates. No allocation of facility totals to component road segments.",full_year_2024_2025_bridge_standardized_changes.csv,Verrazzano - Narrows Bridge,Verrazzano - Narrows Bridge,percent,inconclusive,inconclusive,context,,,,,
